domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
coursefpx.co,Course FPX LLC — Study Platform for FlexPath (FPX) Students,Course FPX LLC,USA,77,2680,2026-09-13T13:10:30.493636849Z,"['Alternate Protocol', 'Content Delivery Network', 'Google', 'Google Cloud DNS', 'Google Font API', 'Microdata for Google Shopping', 'Tailwind CSS', 'UTF-8', 'University or College', 'Vercel']"
mainstinns.com,Main Street Inn Bed & Breakfast: Ste Genevieve Missouri,,USA,82,88092,2026-09-13T13:10:30.487783561Z,"['AWS WAF Challenge', 'Apture Linking Platform', 'Content Delivery Network', 'Fireblade', 'GetResponse', 'Google', 'Google Analytics', 'Google Cloud CDN', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'SMC', 'Tailwind CSS', 'Thank You', 'Think Reservations', 'Twitter Ads', 'UTF-8', 'University or College', 'Vercel', 'eLand', 'shadcn ui']"
nresidentialsuites.com,N RESIDENTIAL SUITES,,RWA,67,960,2026-09-13T13:10:30.485540853Z,"['Content Delivery Network', 'Google My Business', 'Google Related Website Sites', 'Next.js', 'Pleroma', 'Tailwind CSS', 'UTF-8', 'Vercel', 'shadcn ui']"
focuskeeper.co,Pomodoro Timer - Focus Keeper,,,62,420,2026-09-13T13:10:30.478495428Z,"['App Store', 'Content Delivery Network', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Google Analytics', 'Google My Business', 'Google Play', 'Google Tag Manager', 'Material-UI', 'Next.js', 'PWA', 'Pleroma', 'UTF-8', 'Vercel']"
hannahwilloughby.dev,Hannah Willoughby's Portfolio,,,65,15240,2026-09-13T13:10:30.46615028Z,"['AWS WAF Challenge', 'Amazon CloudFront', 'Astro', 'Content Delivery Network', 'GitHub Hosting', 'Nginx', 'Python', 'Tailwind CSS', 'UTF-8', 'Vercel']"
hashlogicsofficial.com,Agentic AI Development Company | Hashlogics,Hashlogics,PAK,77,166932,2026-09-13T12:59:13.668320681Z,"['Apture Linking Platform', 'Calendly', 'Cisco/Arrowpoint Content Service Switch', 'Clutch', 'Content Delivery Network', 'GitHub Hosting', 'Google Analytics', 'Google Tag Manager', 'Microdata for Google Shopping', 'NFOrce Internet', 'Next.js', 'Pleroma', 'Salesforce Hosted', 'Tailwind CSS', 'UTF-8', 'Vercel', 'shadcn ui']"
launchyoursite.qa,LaunchYourSite.qa — Web Design Studio in Qatar,,QAT,60,63,2026-09-13T12:59:13.666822995Z,"['Apture Linking Platform', 'Content Delivery Network', 'Google', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Tailwind CSS', 'UTF-8', 'Vercel']"
zweiradliebe.ch,Zweiradliebe – Bike-Spass für die ganze Familie,,CHE,72,240,2026-09-13T12:59:13.604267716Z,"['Content Delivery Network', 'Microdata for Google Shopping', 'Next.js', 'Perl', 'Tailwind CSS', 'UTF-8', 'Vercel', 'shadcn ui']"
wrkcrew.ca,"WrkCrew, Canadian Trades Job Board with Mandatory Pay Disclosure",WrkCrew,CAN,77,240,2026-09-13T12:58:26.151667152Z,"['Alternate Protocol', 'Content Delivery Network', 'Microdata for Google Shopping', 'Next.js', 'Sitelinks Search Box', 'Tailwind CSS', 'UTF-8', 'Vercel', 'Verified Profile', 'shadcn ui']"
optain.co,Optain: One Application. Every Funding Option.,,USA,77,240,2026-09-13T12:49:26.150942348Z,"['Content Delivery Network', 'Instagram Follow Button', 'Next.js', 'Pleroma', 'QUIC', 'Tailwind CSS', 'UTF-8', 'Vercel', 'YouTube', 'shadcn ui']"
ecgarage.com.au,EC Garage - Professional Auto Repair Services,,AUS,72,432,2026-09-13T12:45:57.570823833Z,"['Alternate Protocol', 'Content Delivery Network', 'DAV', 'Instagram Follow Button', 'Line2', 'Next.js', 'QUIC', 'Tailwind CSS', 'Thank You', 'UTF-8', 'Vercel', 'shadcn ui']"
ticketbro.com,ticketbro - Mobile first booking system | Download the app now,ticketbro,,67,15240,2026-09-13T12:45:57.567774168Z,"['AWS WAF Challenge', 'Alternate Protocol', 'App Store', 'Content Delivery Network', 'Google Analytics', 'Google My Business', 'Google Play', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Next.js', 'Pleroma', 'QUIC', 'Tailwind CSS', 'UTF-8', 'Vercel', 'YouTube', 'shadcn ui']"
daveloper.cloud,Daveloper - Desarrollador Web,,,62,240,2026-09-13T12:45:57.558901881Z,"['Content Delivery Network', 'DAV', 'GitHub Hosting', 'Next.js', 'Pleroma', 'Tailwind CSS', 'UTF-8', 'Vercel']"
estatravels.in,esta travels - Explore the Hills,,IND,47,,2026-09-13T12:45:57.546917613Z,"['Content Delivery Network', 'Instagram Follow Button', 'Next.js', 'QUIC', 'Tailwind CSS', 'UTF-8', 'Vercel']"
tonybanh.dev,Tony Banh's Portfolio,,USA,72,468,2026-09-13T12:35:36.405547641Z,"['Angular', 'Content Delivery Network', 'Express', 'GitHub Hosting', 'Google My Business', 'Netlify', 'Next.js', 'Parcel', 'Pleroma', 'Python', 'Tailwind CSS', 'UTF-8', 'University or College', 'Vercel', 'shadcn ui']"
shopead.com,Free Online Store — Create Your Free Ecommerce Website | Shopead,Shopead,,72,15420,2026-09-13T12:35:36.385935261Z,"['Alternate Protocol', 'Content Delivery Network', 'Fireblade', 'Framer Sites', 'Google Analytics', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Next.js', 'Ntent', 'Pleroma', 'QUIC', 'Sitelinks Search Box', 'Tailwind CSS', 'UTF-8', 'Vercel', 'YouTube', 'shadcn ui']"
dcpolitics.de,Home,,,57,,2026-09-13T12:35:36.374451808Z,"['Alternate Protocol', 'Content Delivery Network', 'Google Analytics', 'Google Tag Manager', 'Instagram Follow Button', 'Next.js', 'PWA', 'Perl', 'Pleroma', 'Tailwind CSS', 'UTF-8', 'Vercel']"
arbipos.com,Arbi POS,,NPL,82,2680,2026-09-13T12:35:36.374531888Z,"['Content Delivery Network', 'Financial Services Guide', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Play', 'Google Tag Manager', 'Instagram Follow Button', 'Next.js', 'QUIC', 'Tailwind CSS', 'UTF-8', 'Vercel', 'shadcn ui']"
njestuff.com,"NJE Stuff - NetJets Europe Crew Dashboard, Tools & Links",,FRA,87,22147,2026-09-13T12:25:24.065490439Z,"['Alternate Protocol', 'App Store', 'Easy Pie Chart', 'Google Cloud DNS', 'Google Font API', 'IcoMoon', 'LiteSpeed', 'Okta', 'On The Map', 'PWA', 'QUIC', 'Slider Revolution', 'Tailwind CSS', 'Vercel', 'jQuery', 'myFlightradar24']"
adieesh.in,Adieesh VK Portfolio,,IND,60,200,2026-09-13T12:25:24.061196007Z,"['AWS WAF Challenge', 'Content Delivery Network', 'Figma', 'GitHub Hosting', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Python', 'QUIC', 'UTF-8', 'Vercel', 'YouTube']"
