domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
turfmeup.com,TurfMeUp | Austin's #1 Artificial Turf Installation,,MYS,77,24268,2026-09-13T14:36:10.56663891Z,"['Content Delivery Network', 'GZIP Module', 'Google Analytics', 'Google Cloud', 'Google Customer Reviews', 'Google My Business', 'Google Tag Manager', 'Idaq', 'Instagram Follow Button', 'Material-UI', 'Next.js', 'On The Map', 'QUIC', 'Sanity', 'UTF-8']"
aeromedicalholland.nl,AeroMedical Holland,,CAN,57,200,2026-09-13T14:36:10.560290757Z,"['AWS WAF Challenge', 'GZIP Module', 'Material-UI', 'Next.js', 'Nginx', 'Pleroma', 'UTF-8', 'Ubuntu', 'University or College']"
jccvahousing.gov,"James City County Housing Portal, VA | Official Website",,,55,10063,2026-09-13T14:04:43.890005978Z,"['Apture Linking Platform', 'AutoComplete', 'CivicPlus', 'Cloudflare', 'Cloudflare CDN', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Material-UI', 'Microsoft Azure', 'QUIC', 'SiteW', 'Twitter Ads', 'UTF-8', 'University or College', 'Visual Studio', 'YouTube', 'jQuery']"
dmaswa.org,"Dubuque Metropolitan Area Solid Waste Agency | Dubuque, IA - Official Website",,,57,11623,2026-09-13T13:50:29.712430182Z,"['Apture Linking Platform', 'AutoComplete', 'CivicPlus', 'Coming Soon Page', 'DAV', 'ETranslate', 'Facebook Embedded Posts', 'GTranslate', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Conversion Tracking', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'InitiativeS', 'Instagram Follow Button', 'Material-UI', 'Microsoft Azure', 'Monsido', 'QUIC', 'SiteW', 'UTF-8', 'University or College', 'Visual Studio', 'YouTube']"
beirutportmemorial.com,Beirut Port Memorial,,,57,3,2026-09-13T13:39:36.10751177Z,"['Angular', 'Content Delivery Network', 'Google Cloud DNS', 'Google Font API', 'License Buttons', 'Material-UI', 'Next.js', 'Pleroma', 'UTF-8', 'Vercel']"
peoplentransition.com,"People in Transition Christian Counseling Network LLC | Howell Township, NJ",People N Transition Christian Counseling Network LLC,USA,82,103842,2026-09-13T13:30:34.712286304Z,"['AWS WAF Challenge', 'About Cookies', 'Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'Commoninja', 'Cornerstone', 'Elfsight', 'Express', 'Financial Services Guide', 'Fireblade', 'Font Awesome', 'Google Analytics', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Gravity', 'InitiativeS', 'Instagram Follow Button', 'Investor Relations', 'Line2', 'M247', 'Material-UI', 'NFOrce Internet', 'Network Advertising Initiative', 'Oddle', 'Pico CSS', 'QUIC', 'SMC', 'Tailwind CSS', 'Thank You', 'Twitter Ads', 'UENI', 'UTF-8', 'Underscores', 'University or College', 'Yelp Badge']"
focuskeeper.co,Pomodoro Timer - Focus Keeper,,,62,420,2026-09-13T13:10:30.478495428Z,"['App Store', 'Content Delivery Network', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Google Analytics', 'Google My Business', 'Google Play', 'Google Tag Manager', 'Material-UI', 'Next.js', 'PWA', 'Pleroma', 'UTF-8', 'Vercel']"
b4change.co.uk,Bantaba4Change - Best Temp Agency in Southampton,Bantaba4Change 11716140,GBR,87,128535,2026-09-13T13:10:30.475288507Z,"['34SP.com', 'About Cookies', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'DAV', 'Express', 'Financial Services Guide', 'Fireblade', 'Font Awesome', 'Google Analytics', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'M247', 'Material-UI', 'NFOrce Internet', 'Network Advertising Initiative', 'ON24', 'Oddle', 'Pico CSS', 'SMC', 'Tailwind CSS', 'Thank You', 'Twitter Ads', 'UENI', 'UTF-8']"
vastreach.com,Vast Reach - Home,,,62,2630,2026-09-13T12:59:13.666920091Z,"['Amazon', 'Amazon CloudFront', 'Amazon Link Enchancer', 'Amazon Route 53', 'Amazon S3 CDN', 'Amazon Widgets', 'App Store', 'Apture Linking Platform', 'Bulma', 'CloudFront', 'Content Delivery Network', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'GZIP Module', 'Google Analytics', 'Google My Business', 'Google Play', 'Google Tag Manager', 'LinkedIn Insights', 'LinkedIn Pixel', 'Material-UI', 'Next.js', 'Pleroma', 'Tailwind CSS', 'UTF-8']"
redemptionlegacy.com,"Redemption Trilogy | Self-Published Author in Tequesta, FL",Redemption,,67,86031,2026-09-13T12:59:13.615747459Z,"['34SP.com', 'AWS WAF Challenge', 'About Cookies', 'Amazon Associates', 'Amazon Widgets', 'Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'Commoninja', 'DAV', 'Express', 'Financial Services Guide', 'Fireblade', 'Font Awesome', 'Gambling Content', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Material-UI', 'NFOrce Internet', 'Network Advertising Initiative', 'Oddle', 'Oracle Cloud', 'SMC', 'Thank You', 'Twitter Ads', 'UENI', 'UTF-8', 'University or College']"
jwayconcreterepair.com,J-Way Restoration & Concrete LLC | Concrete Repair Specialists in Holly Hill,J-Way Restoration & Concrete LLC,USA,87,68535,2026-09-13T12:35:36.411598359Z,"['34SP.com', 'About Cookies', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'DAV', 'Express', 'Financial Services Guide', 'Fireblade', 'Font Awesome', 'Google Analytics', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Material-UI', 'NFOrce Internet', 'Network Advertising Initiative', 'Oddle', 'Pico CSS', 'QUIC', 'SMC', 'Thank You', 'Twitter Ads', 'UENI', 'UTF-8']"
deix.ai,Artificial Intelligence and Optimization solutions for your business | Deix,,ITA,67,16380,2026-09-13T12:35:36.398192559Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Azion', 'Content Delivery Network', 'GZIP Module', 'Instagram Follow Button', 'Material-UI', 'Next.js', 'Pleroma', 'Subversion', 'UTF-8', 'YouTube']"
crochetartsbygina.com,Crochet Arts by Gina | Fiber Arts in Windham,Crochet Arts by Gina,USA,77,125995,2026-09-13T12:25:24.056689635Z,"['About Cookies', 'Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'DC74', 'DoubleClick Bid Manager', 'Elfsight', 'Express', 'Financial Services Guide', 'Fireblade', 'Font Awesome', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Material-UI', 'NFOrce Internet', 'Network Advertising Initiative', 'Ntent', 'ON24', 'Oddle', 'Phew', 'Pico CSS', 'Pleroma', 'QUIC', 'SMC', 'Thank You', 'Twitter Ads', 'UENI', 'UTF-8', 'University or College', 'eLand']"
finddestinflhomes.com,Home Search,,,42,11503,2026-09-13T11:42:40.261475664Z,"['Amazon', 'Amazon CloudFront', 'Amazon S3 CDN', 'Apture Linking Platform', 'Cisco/Arrowpoint Content Service Switch', 'CloudFront', 'Coming Soon Page', 'ConvertFlow', 'DAV', 'Express', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Maps', 'Google Tag Manager', 'Harbor', 'Homes.com CMS', 'Material-UI', 'Prospective', 'QUIC', 'Storyblocks', 'Thank You', 'UTF-8', 'Ylopo']"
urbanwoodsoftheberkshires.com,"Urban Woods of the Berkshires, LLC | Woodshop | Adams, MA","Urban Woods of the Berkshires, LLC",GBR,77,68991,2026-09-13T11:42:40.257417289Z,"['34SP.com', 'About Cookies', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Coming Soon Page', 'Commoninja', 'DAV', 'Elfsight', 'Express', 'Financial Services Guide', 'Fireblade', 'Font Awesome', 'Google Analytics', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Material-UI', 'NFOrce Internet', 'Network Advertising Initiative', 'Oddle', 'Perl', 'Pico CSS', 'QUIC', 'SMC', 'Share Link', 'Thank You', 'Twitter Ads', 'UENI', 'UTF-8']"
klshislegacy.com,"KLS Home Improvement Services, LLC | Home Renovations in Pembroke, KY","KLS Home Improvement Services, LLC",USA,77,119020,2026-09-13T11:31:39.881815919Z,"['34SP.com', 'About Cookies', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'Commoninja', 'Cornerstone', 'DAV', 'Express', 'Financial Services Guide', 'Fireblade', 'Font Awesome', 'Google Analytics', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Harbor', 'Investor Relations', 'M247', 'Material-UI', 'NFOrce Internet', 'Network Advertising Initiative', 'No-Q', 'Oddle', 'Perl', 'Pico CSS', 'Python', 'QUIC', 'SMC', 'Thank You', 'The Deck', 'The Fresh', 'Twitter Ads', 'UENI', 'UTF-8']"
hoasimtravel.com,Home - Hoa Sim Travel,Hoa Sim Travel,THA,87,25235,2026-09-13T11:11:21.33676909Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Cisco/Arrowpoint Content Service Switch', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'DAV', 'Elementor', 'ElementsKit Elementor', 'EmbedPress', 'Essential Addons for Elementor', 'FiboSearch', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Hello Elementor', 'Line2', 'LiteSpeed', 'Material-UI', 'Microdata for Google Shopping', 'NFOrce Internet', 'PHP', 'Perl', 'QUIC', 'Shipping Rates Calculator', 'Side Cart Woocommerce', 'Site Kit', 'Theme In WP', 'UTF-8', 'Vercel', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'eLand', 'jQuery', 'jsDelivr']"
nikklesincbookkeepingllc.com,Nikklesinc Bookkeeping | Bookkeeping Services | Mount Vernon,Nikklesinc Bookkeeping,USA,87,90935,2026-09-13T11:11:21.32816995Z,"['34SP.com', 'About Cookies', 'Amazon', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'DAV', 'Express', 'Financial Services Guide', 'Fireblade', 'Font Awesome', 'Google Analytics', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'M247', 'Material-UI', 'NFOrce Internet', 'Network Advertising Initiative', 'Oddle', 'Pico CSS', 'QUIC', 'SMC', 'Thank You', 'Twitter Ads', 'UENI', 'UTF-8']"
spotfraud.app,Spotfraud,,,32,,2026-09-13T11:11:21.29408688Z,"['Content Delivery Network', 'GZIP Module', 'Material-UI', 'Next.js', 'Nginx', 'UTF-8', 'Ubuntu']"
manorhousecyber.com,Manorhouse Cybersecurity | Freehold | Cybersecurity Services,Manorhouse Cybersecurity Consulting,,77,108535,2026-09-13T10:58:09.104985549Z,"['34SP.com', 'AWS WAF Challenge', 'About Cookies', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Coming Soon Page', 'Corporate Governance and Regulatory Compliance', 'DAV', 'Express', 'Financial Services Guide', 'Fireblade', 'Font Awesome', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'M247', 'Material-UI', 'NFOrce Internet', 'Network Advertising Initiative', 'Oddle', 'Perl', 'Pico CSS', 'QUIC', 'SMC', 'Thank You', 'Twitter Ads', 'UENI', 'UTF-8', 'Underscores', 'Vector Internet Services']"
salefinosamui.com,Salefino Koh Samui | Italian Restaurant,,,77,135008,2026-09-13T10:58:09.086665179Z,"['Amazon WAF Blocked', 'Apture Linking Platform', 'Content Delivery Network', 'Express', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Related Website Sites', 'Instagram Follow Button', 'K2F', 'KVH', 'Material-UI', 'Microdata for Google Shopping', 'NFOrce Internet', 'PWA', 'Perl', 'QUIC', 'SMC', 'Seflow Italy', 'Sentry', 'SiteW', 'Subversion', 'UTF-8', 'Vector Internet Services', 'Wix', 'Wix Media', 'eLand', 'mlcom']"
eewilkins.com,E.E. Wilkins - Author and Blogger,E.E. Wilkins,,82,76690,2026-09-13T10:49:49.935132866Z,"['34SP.com', 'AWS WAF Challenge', 'About Cookies', 'Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'Commoninja', 'Cornerstone', 'Express', 'Financial Services Guide', 'Font Awesome', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Material-UI', 'NFOrce Internet', 'Negate', 'Network Advertising Initiative', 'Oddle', 'Pico CSS', 'QUIC', 'SMC', 'Tailwind CSS', 'Thank You', 'Twitter Ads', 'UENI', 'UTF-8', 'University or College', 'Walmart', 'eLand']"
stanleyconstruction.us,Stanley Construction,Stanley Construction,GBR,75,118535,2026-09-13T10:38:59.035309638Z,"['34SP.com', 'About Cookies', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'DAV', 'Express', 'Financial Services Guide', 'Fireblade', 'Font Awesome', 'Google Analytics', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'M247', 'Material-UI', 'NFOrce Internet', 'Network Advertising Initiative', 'Oddle', 'QUIC', 'SMC', 'Thank You', 'The Fresh', 'Twitter Ads', 'UENI', 'UTF-8']"
balancedbehavioralhealth.com,"Balanced Behavioral Health, LLC | Stratford ABA Services","Balanced Behavioral Health, LLC",USA,87,89050,2026-09-13T10:26:30.89395435Z,"['34SP.com', 'AWS WAF Challenge', 'About Cookies', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'Commoninja', 'Cornerstone', 'Elfsight', 'Express', 'Financial Services Guide', 'Font Awesome', 'Google Analytics', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Investor Relations', 'M247', 'Material-UI', 'NFOrce Internet', 'Network Advertising Initiative', 'Oddle', 'Pico CSS', 'SMC', 'Thank You', 'Twitter Ads', 'UENI', 'UTF-8']"
creativeproducts.co.in,Creative Products | Protex,,,72,3849,2026-09-13T10:26:30.889097912Z,"['BunnyCDN', 'BunnyCDN General', 'Dukaan', 'Facebook Login', 'Facebook Reseller', 'GZIP Module', 'Google Analytics', 'Google Tag Manager', 'Material-UI', 'Microdata for Google Shopping', 'QUIC', 'Tailwind CSS', 'UTF-8']"
apexcleaningfife.co.uk,Apex Cleaning Fife | Cleaning Services in Kirkcaldy,Apex Cleaning Fife,,77,88865,2026-09-13T10:18:44.191893187Z,"['34SP.com', 'About Cookies', 'Adult Content', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'Express', 'Financial Services Guide', 'Fireblade', 'Font Awesome', 'Google Analytics', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'M247', 'Material-UI', 'NFOrce Internet', 'Network Advertising Initiative', 'No-Q', 'Ntent', 'Oddle', 'SMC', 'Thank You', 'Twitter Ads', 'UENI', 'UTF-8']"
spmr-motorcycles.co.uk,SPMR Motorcycles | Electrical and Mechanical Engineer in Coventry,SPMR Motorcycles,GBR,92,89465,2026-09-13T10:18:44.142231442Z,"['34SP.com', 'About Cookies', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'DAV', 'Express', 'Financial Services Guide', 'Fireblade', 'Font Awesome', 'GitHub Hosting', 'Google Analytics', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'M247', 'Material-UI', 'NFOrce Internet', 'Network Advertising Initiative', 'No-Q', 'Ntent', 'Oddle', 'Perl', 'QUIC', 'SMC', 'Subversion', 'Thank You', 'Twitter Ads', 'UENI', 'UTF-8', 'Yell Business', 'YouTube', 'eLand']"
zendori.co,Zendori | Custom Clothes & Accessories | Raleigh,Zendori,USA,82,83535,2026-09-13T10:04:04.140936214Z,"['34SP.com', 'AWS WAF Challenge', 'About Cookies', 'Apture Linking Platform', 'Better Lead Generation Services', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'Express', 'Financial Services Guide', 'Fireblade', 'Font Awesome', 'Google Analytics', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Material-UI', 'NFOrce Internet', 'Network Advertising Initiative', 'Oddle', 'Pico CSS', 'QUIC', 'SMC', 'Tailwind CSS', 'Thank You', 'Twitter Ads', 'UENI', 'UTF-8']"
poppascookbook.com,Poppa's Cookbook | Catering & Meal Prep | Lansing,"Poppa's Cookbook, LLC",USA,82,134242,2026-09-13T10:04:04.139583266Z,"['34SP.com', 'AWS WAF Challenge', 'About Cookies', 'Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'Commoninja', 'Cornerstone', 'DAV', 'Elfsight', 'Express', 'Financial Services Guide', 'Fireblade', 'Font Awesome', 'Google Analytics', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'InitiativeS', 'Instagram Follow Button', 'Line2', 'M247', 'Material-UI', 'NFOrce Internet', 'Network Advertising Initiative', 'Oddle', 'Pico CSS', 'SMC', 'Thank You', 'The Fresh', 'Twitter Ads', 'UENI', 'UTF-8']"
nuthallglazing.com,"Nuthall Glazing, Locks And Doors - Locksmith | Nottingham","Nuthall Glazing, Locks And Doors Ltd",GBR,82,93895,2026-09-13T09:43:40.30273588Z,"['34SP.com', 'About Cookies', 'Apture Linking Platform', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Coming Soon Page', 'DAV', 'DC74', 'Elfsight', 'Express', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Financial Services Guide', 'Fireblade', 'Font Awesome', 'Google Analytics', 'Google Conversion Tracking', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'M247', 'Material-UI', 'NFOrce Internet', 'Network Advertising Initiative', 'Ntent', 'Oddle', 'Perl', 'QUIC', 'SMC', 'Thank You', 'Twitter Ads', 'UENI', 'UTF-8', 'WordPress', 'YouTube']"
