domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
curlywavypatty.com,"Patty Flores - Collage Art, DIY, Serial Craft Club",,,62,2814,2026-09-13T19:08:58.955116784Z,"['Alternate Protocol', 'Amazon Widgets', 'Apture Linking Platform', 'Beacons', 'Canva Websites', 'GZIP Module', 'Giphy', 'Google Cloud', 'Google My Business', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Next.js', 'PWA', 'Subversion', 'UTF-8', 'Unsplash', 'YouTube']"
frontendlabs.co.uk,Mobile Paradigm Consultancy - Building World-Class Digital Products,,GBR,77,2908,2026-09-13T19:08:58.946513213Z,"['Better Lead Generation Services', 'GZIP Module', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'IcoMoon', 'Instagram Follow Button', 'Next.js', 'Pleroma', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'WhatsApp Sharing', 'shadcn ui']"
yoennytorrealba.com,"@yoennytorrealba | Make your own Beacons page, Instagram",,,52,5244,2026-09-13T19:08:58.942649964Z,"['Alternate Protocol', 'Apture Linking Platform', 'Beacons', 'GZIP Module', 'Google Cloud', 'Instagram Follow Button', 'KVH', 'Microdata for Google Shopping', 'Next.js', 'PWA', 'Subversion', 'UTF-8', 'Unsplash']"
lewjs.com,Lewis Johnson | Software Engineer,,GBR,67,15240,2026-09-13T19:08:58.938460794Z,"['AWS WAF Challenge', 'Content Delivery Network', 'Next.js', 'Pleroma', 'Tailwind CSS', 'UTF-8', 'Vercel', 'shadcn ui']"
pickfoo.in,"Pickfoo | Online Food Delivery Across Wayanad, Kerala",,,87,960,2026-09-13T19:08:58.937835242Z,"['Alternate Protocol', 'App Store', 'Content Delivery Network', 'Google Analytics', 'Google My Business', 'Google Play', 'Google Related Website Sites', 'Google Tag Manager', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Next.js', 'Perl', 'QUIC', 'Tailwind CSS', 'UTF-8', 'Vercel', 'YouTube', 'shadcn ui']"
oskaptech.ai,Oskap Tech AI | AI Solutions for SMBs,,,57,200,2026-09-13T19:08:58.930659833Z,"['AWS WAF Challenge', 'Content Delivery Network', 'Netlify', 'Next.js', 'Pleroma', 'QUIC', 'Tailwind CSS', 'UTF-8', 'shadcn ui']"
cedarcresthomesllc.com,"Cedar Crest Homes LLC | General Contractor in Olympia, WA",,USA,67,,2026-09-13T19:08:58.92665542Z,"['Alternate Protocol', 'Cloudflare', 'Express', 'GZIP Module', 'Next.js', 'Tailwind CSS', 'UTF-8', 'University or College', 'shadcn ui']"
almodinagarments.com,Al-Madina Garments - Industrial Sewing Machines & Parts in Bangladesh,,GHA,77,15000,2026-09-13T19:08:58.923396349Z,"['Cloudflare', 'Cloudflare CDN', 'Fireblade', 'Google My Business', 'Next.js', 'Pleroma', 'QUIC', 'Tailwind CSS', 'UTF-8', 'shadcn ui']"
dashbook.es,DashBook - The Content Creator Publishing House,,,67,25169,2026-09-13T19:00:39.957689104Z,"['501c3 Status Nonprofit', 'Alternate Protocol', 'Amazon', 'Amazon WAF Blocked', 'Apache', 'Apture Linking Platform', 'Aruba', 'Bookform', 'Coming Soon Page', 'DAV', 'Express', 'Fastly', 'Fireblade', 'GZIP Module', 'Instagram Follow Button', 'Line2', 'Marketing Pro', 'Microdata for Google Shopping', 'Next.js', 'Parcel', 'Pleroma', 'QUIC', 'Radix UI', 'Share Link', 'Thank You', 'UTF-8', 'Ubuntu', 'YouTube', 'eLand', 'shadcn ui', 'symfony PHP Framework']"
celbux.com,Celbux | Smart Digital Vouchers | Celbux,,,72,2400,2026-09-13T19:00:39.938858597Z,"['Amazon', 'Content Delivery Network', 'Envoy', 'GZIP Module', 'Next.js', 'QUIC', 'Radix UI', 'Tailwind CSS', 'UTF-8', 'shadcn ui']"
locus.news,Locus,,USA,67,95240,2026-09-13T19:00:39.937858901Z,"['Brightspot', 'Content Delivery Network', 'Express', 'Getty Images Embed', 'K2F', 'Next.js', 'Pleroma', 'Tailwind CSS', 'UTF-8', 'Unix', 'Vercel', 'WordPress', 'eLand']"
nextflat.in,"NextFlat - Shared Flats, Roommates & PGs without brokerage",,IND,77,240,2026-09-13T19:00:39.934944051Z,"['App Store', 'Content Delivery Network', 'Google Analytics', 'Google My Business', 'Google Play', 'Google Tag Manager', 'Instagram Follow Button', 'Next.js', 'Tailwind CSS', 'Telegram', 'UTF-8', 'Vercel', 'Verified Profile', 'shadcn ui']"
deepetservices.com,Trusted Pet Care and Expert Pet Vets for Pet Health,,IND,77,84,2026-09-13T19:00:39.929269281Z,"['Alternate Protocol', 'Content Delivery Network', 'GZIP Module', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Instagram Follow Button', 'Investor Relations', 'Next.js', 'QUIC', 'Tailwind CSS', 'UTF-8', 'Unsplash', 'WordPress', 'shadcn ui']"
aitooldiscovery.com,"AI Tool Discovery | Find & Compare 1,851+ Professional AI Tools",AI Tool Discovery,,57,,2026-09-13T19:00:39.917045397Z,"['Alternate Protocol', 'Content Delivery Network', 'Google Adsense', 'Google Analytics', 'Google Funding Choices', 'Google Matched Content', 'Google Reseller', 'Google Tag Manager', 'Instagram Follow Button', 'Medium', 'Microdata for Google Shopping', 'Next.js', 'Pleroma', 'Sitelinks Search Box', 'UTF-8', 'Vercel', 'YouTube']"
seoulglow.us,Coming Soon | SeoulGlow - K-Beauty & Korean Lifestyle,SeoulGlow,USA,77,15123,2026-09-13T18:50:18.91897723Z,"['AWS WAF Challenge', 'Cloudflare', 'Cloudflare CDN', 'Coming Soon Page', 'Content Delivery Network', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Next.js', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'Unsplash']"
nordicdigitalmedia.no,Modern Digital Solutions That Deliver Results - Nordic Digital Media,Nordic Digital Media,,77,15000,2026-09-13T18:50:18.918037103Z,"['AWS WAF Challenge', 'Alternate Protocol', 'DAV', 'GZIP Module', 'Instagram Follow Button', 'Mantine', 'Microdata for Google Shopping', 'Next.js', 'Nginx', 'Pleroma', 'Twitter Ads', 'UTF-8', 'Ubuntu']"
taxtippartners.com,Tip Credit Partners - FICA Tax Credit Recovery for Restaurants & Bars,,,77,240,2026-09-13T18:50:18.906909149Z,"['Content Delivery Network', 'DAV', 'Gambling Content', 'Nationwide Mortgage Licensing System and Registry', 'Next.js', 'Pleroma', 'QUIC', 'Radix UI', 'Tailwind CSS', 'UTF-8', 'Vercel', 'shadcn ui']"
akshaybajpai.com,"Akshay Bajpai — Architect of Systems, Builder of Intelligence",,,67,7400,2026-09-13T18:50:18.899325776Z,"['Alternate Protocol', 'Content Delivery Network', 'Fastly', 'GZIP Module', 'GitHub Hosting', 'Microdata for Google Shopping', 'Next.js', 'Pleroma', 'Twitter Ads', 'UTF-8', 'Vector Internet Services']"
marinameier.com,Marina Meier | Certified & Specialist Translations | English <> Spanish,,GBR,77,22500,2026-09-13T18:50:18.8791413Z,"['Cisco/Arrowpoint Content Service Switch', 'Corporate Governance and Regulatory Compliance', 'DAV', 'ETranslate', 'Fireblade', 'GZIP Module', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'InitiativeS', 'Next.js', 'Nginx', 'QUIC', 'Radix UI', 'Tailwind CSS', 'University or College', 'shadcn ui']"
ptracgroups.in,Solar & Renewable Energy Solutions,PTRAC,IND,82,40570,2026-09-13T18:50:18.872849121Z,"['Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Amazon S3 CDN', 'CloudFront', 'Content Delivery Network', 'Fireblade', 'Google Related Website Sites', 'Instagram Follow Button', 'KVH', 'Microdata for Google Shopping', 'Next.js', 'PWA', 'Pexels', 'Pleroma', 'Tailwind CSS', 'Twitter Ads', 'Yandex Hosting', 'shadcn ui']"
modetocode.com,Mode to Code | Home,,,62,5240,2026-09-13T18:50:18.866339935Z,"['Cisco/Arrowpoint Content Service Switch', 'Content Delivery Network', 'GitHub Hosting', 'Google My Business', 'Instagram Follow Button', 'Next.js', 'Pleroma', 'Python', 'Tailwind CSS', 'UTF-8', 'University or College', 'Vercel', 'YouTube', 'shadcn ui']"
maavumich.org,MAAV - Michigan Autonomous Aerial Vehicles,,,52,,2026-09-13T18:36:28.883812654Z,"['Content Delivery Network', 'GitHub Hosting', 'Instagram API', 'Instagram Follow Button', 'Next.js', 'UTF-8', 'University or College', 'Vercel']"
noodleflow.ai,Run anyone’s AI workflow with your own inputs,,,42,,2026-09-13T18:36:28.874395928Z,"['Content Delivery Network', 'Next.js', 'QUIC', 'Tailwind CSS', 'UTF-8', 'Vercel', 'shadcn ui']"
scrsocalridetransport.com,SCR SOCALRIDE TRANSPORT,,USA,57,,2026-09-13T18:36:28.869082565Z,"['GZIP Module', 'Next.js', 'Pleroma', 'Tailwind CSS', 'UTF-8']"
indiakiloecho.com,Ike Hall,,,57,,2026-09-13T18:36:28.866966336Z,"['Content Delivery Network', 'Google Analytics', 'Google Tag Manager', 'InitiativeS', 'Next.js', 'Pleroma', 'Tailwind CSS', 'UTF-8', 'Vercel']"
peake.ai,"Peake.ai — Find, call, and pay the team",,USA,67,240,2026-09-13T18:36:28.865241047Z,"['Content Delivery Network', 'Next.js', 'UTF-8', 'Vercel']"
getabetterway.com,Sign in,,,37,383,2026-09-13T18:29:14.870341151Z,"['AI Log', 'AWS WAF Challenge', 'Amazon WAF Blocked', 'Coming Soon Page', 'Content Delivery Network', 'Express', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Next.js', 'Perl', 'Pingdom RUM', 'Pleroma', 'QUIC', 'Tailwind CSS', 'UTF-8', 'Underscores', 'Vercel']"
afterservice.ai,"AfterService | DVA claims and veteran support, in one conversation",,AUS,72,17489,2026-09-13T18:29:14.869965826Z,"['AWS WAF Challenge', 'Amazon', 'Amazon CloudFront', 'Amazon Route 53', 'Amazon S3 CDN', 'CloudFront', 'Coming Soon Page', 'Content Delivery Network', 'Next.js', 'Tailwind CSS', 'shadcn ui']"
trinitypuentes.com,Home Page,,ARG,72,15636,2026-09-13T18:29:14.868879058Z,"['Cloudflare', 'Cloudflare Web Analytics', 'Digital Ocean Spaces', 'Fireblade', 'Google My Business', 'Instagram Follow Button', 'Line2', 'Next.js', 'Pleroma', 'Tailwind CSS', 'UTF-8', 'Unsplash', 'YouTube']"
aliffllc.com,Home Page,,USA,67,996,2026-09-13T18:29:14.864744168Z,"['Cloudflare', 'Cloudflare Web Analytics', 'DAV', 'Google My Business', 'Google Related Website Sites', 'Instagram Follow Button', 'Line2', 'Next.js', 'Pleroma', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'Unsplash', 'shadcn ui']"
7mdoc.com,Join Our Essex Health Workshops | Myquestlife360 UK,,,67,4240,2026-09-13T18:29:14.86078849Z,"['Cloudflare', 'Cloudflare Web Analytics', 'DAV', 'Getty Images', 'Getty Images Embed', 'Google My Business', 'Next.js', 'Pleroma', 'UTF-8', 'Vercel', 'YouTube']"
vivatherapysolutions.com,Viva Therapy Solutions,,USA,77,600,2026-09-13T18:29:14.859391215Z,"['Amazon S3 CDN', 'Content Delivery Network', 'DAV', 'Google Analytics', 'Google My Business', 'Google Tag Manager', 'Investor Relations', 'Next.js', 'Pleroma', 'Storyblocks', 'UTF-8', 'Vercel']"
menshealth-wellbeing.co.uk,Men's Health and Wellbeing Group,,,62,7460,2026-09-13T18:29:14.858318258Z,"['Content Delivery Network', 'Envoy', 'GZIP Module', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Next.js', 'Pleroma', 'Postimage.org', 'QUIC', 'Tailwind CSS', 'UTF-8', 'Vector Internet Services', 'WordPress', 'YouTube', 'shadcn ui']"
miamisocceridcamp.com,Miami Soccer ID Camp | Led by Uruguay International Pablo Lima,,USA,77,1440,2026-09-13T18:29:14.81799329Z,"['Camp', 'Content Delivery Network', 'Google My Business', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Next.js', 'Pleroma', 'Tailwind CSS', 'UTF-8', 'University or College', 'Vercel', 'shadcn ui']"
issam.work,LAIB Med Issam - Software Engineer Student,,DZA,82,324,2026-09-13T18:18:07.011646531Z,"['Content Delivery Network', 'Express', 'GitHub Hosting', 'Instagram Follow Button', 'Next.js', 'Pleroma', 'Python', 'QUIC', 'Tailwind CSS', 'UTF-8', 'University or College', 'Unsplash', 'Vercel', 'shadcn ui']"
