domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
mgtransformadores.com.mx,Home - mgtransformadores.com.mx,mgtransformadores.com.mx,MEX,82,687,2026-09-13T17:34:46.887918735Z,"['Alternate Protocol', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Google Cloud DNS', 'Google Font API', 'Hello Elementor', 'LiteSpeed', 'Microdata for Google Shopping', 'PHP', 'Sitelinks Search Box', 'Table Addons for Elementor', 'Theme In WP', 'UTF-8', 'WPForms', 'WordPress', 'WordPress Multisite', 'jQuery']"
coolchilluae.com,Cool Chill General Contracting and maintenance LLC,,,60,162,2026-09-13T17:34:46.880809624Z,"['Alternate Protocol', 'Astra Theme', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'LiteSpeed', 'PHP', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'WPForms', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'jQuery']"
agileindustry.in,Home - Agile Industrial Solution PVT LTD,Agile Industrial Solution PVT LTD Agile Industry Solutions PVT LTD,IND,82,2009,2026-09-13T17:34:46.864863682Z,"['Alternate Protocol', 'Apture Linking Platform', 'Cloudflare', 'Content Delivery Network', 'EmbedPress', 'Font Awesome', 'Google Cloud DNS', 'Google Font API', 'Google Related Website Sites', 'IcoMoon', 'LiteSpeed', 'Microdata for Google Shopping', 'One Designs', 'OnePress', 'PHP', 'SiteOrigin', 'SiteOrigin Panels', 'Sitelinks Search Box', 'Thank You', 'Theme In WP', 'UTF-8', 'WPForms', 'WordPress', 'WordPress Multisite', 'jQuery', 'shadcn ui']"
kwschambers.com,KWS Chambers – Exceptional Commercial Chambers: Proficient in Both Domestic and International Law,,GBR,70,58620,2026-09-13T17:34:46.859665817Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Beaver Builder Lite', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'Contento', 'EmbedPress', 'GoDaddy', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Microdata for Google Shopping', 'PHP', 'Schema Plugin', 'Theme In WP', 'UTF-8', 'WPForms', 'Wangsu', 'WordPress', 'WordPress Multisite', 'jQuery']"
vidanovaphuket.com,Vida Nova Phuket - The best rated restaurant in Phuket,Vida Nova Phuket,THA,82,746,2026-09-13T17:34:46.854535495Z,"['Alternate Protocol', 'Cloudflare', 'Content Delivery Network', 'DuracellTomi Google Tag Manager for WordPress', 'Elementor', 'EmbedPress', 'Google Analytics', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Hello Elementor', 'Instagram Follow Button', 'LiteSpeed', 'Microdata for Google Shopping', 'PHP', 'Theme In WP', 'UTF-8', 'WPForms', 'WPML Multilingual', 'WordPress', 'WordPress Multisite', 'jQuery']"
superior-railing.com,"Superior-Railing – installing deck,patio,stair,porch railing",,USA,75,5174,2026-09-13T17:34:46.840390423Z,"['Alternate Protocol', 'Astra Theme', 'Automattic', 'BatCache', 'Cloudflare', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Fastly', 'GZIP Module', 'Google Maps', 'Google My Business', 'Jetpack', 'Jetpack Site Accelerator', 'LiteSpeed', 'NFOrce Internet', 'Nginx', 'PHP', 'QUIC', 'Theme In WP', 'UTF-8', 'WPForms', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'eLand', 'jQuery']"
hengjinrui.com,"Hengjinrui – Professional Lifting Equipment Supplier | Scissor Lifts, Aerial Platforms, Material Handling Solutions",,CHN,82,20398,2026-09-13T17:34:46.8385483Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Better Lead Generation Services', 'Cloudflare', 'Cloudflare CDN', 'Contact Form Plugin', 'Content Delivery Network', 'Elementor', 'ElementsKit Elementor', 'EmbedPress', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'FreeCSSTemplates', 'Google', 'Google Analytics', 'Google Conversion Tracking', 'Google My Business', 'Google Tag Manager', 'Header, Footer and Blocks for Elementor', 'Instagram Follow Button', 'LiteSpeed', 'Meta Slider for WordPress', 'Microdata for Google Shopping', 'NFOrce Internet', 'OceanWP', 'PHP', 'Popup Maker for Wordpress', 'QUIC', 'Site Kit', 'Sitelinks Search Box', 'TablePress', 'Tailwind CSS', 'Theme In WP', 'TranslatePress', 'UTF-8', 'WP Mobile Menu', 'WPForms', 'Woo Themes', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'jQuery']"
thecobe.co.uk,Centre of Behavioural Equality,,GBR,70,28027,2026-09-13T17:34:46.830351021Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Cloudflare', 'Cloudflare CDN', 'CoBlocks', 'Content Delivery Network', 'EmbedPress', 'GZIP Module', 'GenerateBlocks', 'GoDaddy', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Tag Manager', 'HubSpot WordPress Plugin', 'Nginx', 'PHP', 'QUIC', 'Site Kit', 'Theme In WP', 'UTF-8', 'University or College', 'WPForms', 'WordPress', 'WordPress Multisite', 'jQuery']"
salonecho.com,Salon Echo – Chicago's Botanic and Organic Spa,,USA,67,11535,2026-09-13T17:25:09.344452656Z,"['Alternate Protocol', 'Apache', 'BLR', 'CleanTalk Spam Protect', 'EmbedPress', 'GZIP Module', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Maps', 'Google My Business', 'Google Tag Manager', 'Instagram Feed for WordPress', 'Instagram Follow Button', 'PHP', 'Simple Social Icons', 'StudioPress', 'Theme In WP', 'Tumblr', 'Twitter Ads', 'UTF-8', 'WPForms', 'WordPress', 'WordPress Multisite', 'jQuery']"
brittsaestheticjournal.com,Britt's Aesthetic Journal – Your Guide to the Glass Skin Club,,,55,162,2026-09-13T17:25:09.343081151Z,"['Alternate Protocol', 'Astra Theme', 'Elementor', 'EmbedPress', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Header, Footer and Blocks for Elementor', 'LiteSpeed', 'PHP', 'The Post Grid', 'Theme In WP', 'UTF-8', 'University or College', 'WPForms', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Related Posts', 'jQuery']"
gloryinks.com,Home Page - Glory Inks,,IND,75,34003,2026-09-13T17:25:09.340046187Z,"['Alternate Protocol', 'Better Lead Generation Services', 'Cloudflare', 'Contact Form Plugin', 'Content Delivery Network', 'Elementor', 'EmbedPress', 'Etilize', 'GoDaddy', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Jetpack', 'Microdata for Google Shopping', 'PHP', 'Slider Revolution', 'Theme In WP', 'UTF-8', 'WPForms', 'Wangsu', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'YouTube', 'jQuery']"
telesightmagnifiers.com,"Reading Magnifiers-Hand Held and Hands Free,",Magnifier &amp; Telesight Magnifiers,GBR,77,22801,2026-09-13T17:25:09.336055966Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Automattic', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Contact Form Plugin', 'Elementor', 'EmbedPress', 'FreeCSSTemplates', 'GZIP Module', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'Interchange', 'Jetpack', 'Lazy Load for WordPress', 'Microdata for Google Shopping', 'NFOrce Internet', 'Nginx', 'PHP', 'Rate my Post', 'TablePress', 'Theme In WP', 'Twenty Twenty-One', 'UTF-8', 'WP Responsive Menu', 'WPForms', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WooCommerce Payments', 'WooCommerce Pixel Manager by woopt', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'jQuery', 'jsDelivr', 'reCAPTCHA']"
consolataschoolkiambu.co.ke,Consolata School-Kiambu,,KEN,65,3166,2026-09-13T17:25:09.333329329Z,"['Alternate Protocol', 'Apache', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Elementor', 'EmbedPress', 'FreeCSSTemplates', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'PHP', 'Recent Posts Widget With Thumbnails', 'TablePress', 'Tawk', 'Theme In WP', 'UTF-8', 'University or College', 'WPForms', 'WPFront Scroll Top', 'Woo Themes', 'WooCommerce', 'WooCommerce Checkout', 'WordPress', 'WordPress Multisite', 'jQuery']"
designercontracts.com,Designer Contracts – The UK’s largest flooring contractor,,,62,52310,2026-09-13T17:25:09.332741764Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Ametys', 'Apache', 'Cloudflare', 'Cloudflare CDN', 'EmbedPress', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Reseller', 'Google', 'Google My Business', 'PHP', 'Pardot', 'ThemeFusion', 'UTF-8', 'Vimeo', 'WPForms', 'WordPress', 'WordPress Multisite', 'YouTube', 'jQuery', 'reCAPTCHA']"
