domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
davidrothera.me,David Rothera,,,57,,2026-09-13T13:10:30.469882583Z,"['Alternate Protocol', 'Content Delivery Network', 'DAV', 'GitHub Hosting', 'Hugo', 'Instagram Follow Button', 'Netlify', 'Twitter Ads', 'UTF-8']"
fordv8foundation.org,Early Ford V-8 Foundation Museum,,,77,327,2026-09-13T13:10:30.465930509Z,"['501c3 Status Nonprofit', 'Alternate Protocol', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'DAV', 'Font Awesome', 'Google My Business', 'Instagram Follow Button', 'Microdata for Google Shopping', 'Netlify', 'Square', 'Tailwind CSS', 'UTF-8', 'University or College', 'YouTube']"
nwgp.org,Northwest Georgia Presbytery,,IMN,55,84,2026-09-13T12:45:57.57525508Z,"['Content Delivery Network', 'Netlify', 'Svelte', 'Tailwind CSS', 'Unsplash', 'WordPress']"
awaudioworks.com,AWAudioWorks,,USA,65,15755,2026-09-13T12:35:36.411297846Z,"['Apture Linking Platform', 'BootstrapMade', 'Cloudflare', 'Cloudflare CDN', 'Cloudflare Web Analytics', 'Content Delivery Network', 'Fireblade', 'Google Cloud DNS', 'Google Font API', 'IcoMoon', 'Netlify', 'PHP', 'Tailwind CSS', 'UTF-8', 'University or College', 'eLand', 'jQuery']"
tonybanh.dev,Tony Banh's Portfolio,,USA,72,468,2026-09-13T12:35:36.405547641Z,"['Angular', 'Content Delivery Network', 'Express', 'GitHub Hosting', 'Google My Business', 'Netlify', 'Next.js', 'Parcel', 'Pleroma', 'Python', 'Tailwind CSS', 'UTF-8', 'University or College', 'Vercel', 'shadcn ui']"
compostculture.co.uk,Compost Culture,,USA,70,24156,2026-09-13T12:35:36.404807777Z,"['Content Delivery Network', 'Idaq', 'InitiativeS', 'Instagram Follow Button', 'M247', 'Netlify', 'Next.js', 'Pleroma', 'Sanity', 'Subversion', 'UTF-8', 'Vimeo']"
mostriamoinostridiritti.it,Mettiamo in mostra i nostri diritti,,ESP,72,1428,2026-09-13T12:25:24.05004366Z,"['Azion', 'Content Delivery Network', 'Microdata for Google Shopping', 'Netlify', 'Nuxt.js', 'Tailwind CSS', 'UTF-8', 'shadcn ui']"
bambinos.ma,A room is looked at before it is bought.,,,67,228,2026-09-13T12:25:24.025135225Z,"['Alternate Protocol', 'Content Delivery Network', 'Express', 'Instagram Follow Button', 'Netlify', 'Next.js', 'Perl', 'Pleroma', 'QUIC', 'Tailwind CSS', 'Thank You', 'UTF-8', 'shadcn ui']"
vicwii.com,Victoria Kociman | Art Director | 3D Designer,,SYC,67,60908,2026-09-13T12:12:41.375408637Z,"['Adobe Creative Cloud WebFonts', 'Content Delivery Network', 'Fastly', 'Fastly CDN', 'GZIP Module', 'Google Related Website Sites', 'Instagram Follow Button', 'Netlify', 'SMC', 'UTF-8']"
clinicadianasalome.com,Clínica Médica Dentária Drª Diana Salomé - Vila Real,,BRA,67,17718,2026-09-13T12:12:41.356092076Z,"['Amazon', 'Content Delivery Network', 'Drata', 'Express', 'Flat Icon', 'Instagram Follow Button', 'Netlify', 'UTF-8']"
icemmmt.com,Welcome to ICEMMMT 2026,,IND,77,17668,2026-09-13T12:12:41.347932452Z,"['AWS WAF Challenge', 'Bulma', 'Content Delivery Network', 'Google Cloud DNS', 'Google Font API', 'InitiativeS', 'Netlify', 'StackPath', 'UTF-8', 'University or College', 'jsDelivr']"
emilymccracken.com,"Hi there, I'm Emily! - Emily McCracken, Art Teacher and Chocolate Sculptress",,USA,67,2668,2026-09-13T12:12:41.339521971Z,"['Content Delivery Network', 'Eleventy', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Netlify', 'QUIC', 'UTF-8', 'jsDelivr']"
robodarshan.in,Robodarshan,,,62,5344,2026-09-13T12:03:18.626495066Z,"['AJAX Libraries API', 'Amazon', 'Amazon CloudFront', 'CloudFront', 'Content Delivery Network', 'Google', 'Google Cloud DNS', 'Google Font API', 'Instagram Follow Button', 'Netlify', 'Tailwind CSS', 'UTF-8', 'WF Cookie Consent', 'Webflow', 'YouTube']"
skacaniwe.com,Professional Welding and Engineering Services | SkacanIWE,,,30,,2026-09-13T12:03:18.612090607Z,"['Alternate Protocol', 'Content Delivery Network', 'Netlify', 'Next.js', 'Pleroma', 'Prismic', 'Tailwind CSS', 'UTF-8']"
sarallahfoundation.com,Sarallah Foundation.,,IND,55,99,2026-09-13T12:03:18.611976566Z,"['Content Delivery Network', 'DAV', 'Formspree', 'Netlify', 'QUIC', 'UTF-8']"
ruthzinner-zukunftswerkstatt.de,Ruth Zinner – Zukunftswerkstatt,,DEU,72,588,2026-09-13T12:03:18.584458842Z,"['Adobe Creative Cloud WebFonts', 'Content Delivery Network', 'Netlify', 'Tailwind CSS', 'UTF-8', 'shadcn ui']"
econdor.ca,Eagle & Condor Centre for Indigenous Research,,,62,5812,2026-09-13T12:03:18.581368396Z,"['AJAX Libraries API', 'Amazon', 'Amazon CloudFront', 'CloudFront', 'Content Delivery Network', 'Google', 'Google Cloud DNS', 'Google Font API', 'IcoMoon', 'InitiativeS', 'Instagram Follow Button', 'Netlify', 'QUIC', 'Tailwind CSS', 'UTF-8', 'WF Cookie Consent', 'Webflow']"
romanpaul.io,Roman Paul | Software Developer,,,30,3,2026-09-13T11:42:40.260578473Z,"['Content Delivery Network', 'GitHub Hosting', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Tag Manager', 'Netlify', 'UTF-8']"
elena-gospodinova.com,Elena Gospodinova|Portfolio,,GBR,77,735,2026-09-13T11:31:39.860563721Z,"['Bulma', 'CDN JS', 'Cloudflare', 'Cloudflare CDN', 'Content Delivery Network', 'GitHub Hosting', 'IcoMoon', 'Lineicons', 'Netlify', 'Python', 'Tailwind CSS', 'UTF-8', 'jsDelivr']"
virolete.co.za,Virolete,,ZAF,62,228,2026-09-13T11:31:39.841988374Z,"['Astro', 'Content Delivery Network', 'Netlify', 'UTF-8', 'shadcn ui']"
